text,label
la cortadora operaba con protector dañado en mantenimiento.,riesgo_mecanico
se reportó fuga de químico corrosivo en el almacén que podía causar quemaduras.,riesgo_quimico
durante la inspección se observó derrame de solvente en producción afectando la seguridad del personal.,riesgo_quimico
la operaria giró el tronco repetidas veces al acomodar piezas en el almacén ocasionando incomodidad postural.,riesgo_ergonomico
un técnico se fue de lado al pisar la mancha en el área de carga por piso mojado durante el turno.,riesgo_caida
Se observó tablero sin tapa en la línea 2 sin bloqueo ni etiquetado durante la inspección.,riesgo_electrico
el supervisor identificó salpicadura de sustancia peligrosa en el cuarto de sustancias afectando la seguridad del personal.,riesgo_quimico
Se observó tablero sin tapa en el taller cerca de humedad acumulada durante la inspección.,riesgo_electrico
se reportó salpicadura de sustancia peligrosa junto al área de limpieza con posibilidad de intoxicación.,riesgo_quimico
la operaria sostuvo herramientas pesadas por tiempo prolongado en la mesa de ensamblaje con riesgo ergonómico acumulado.,riesgo_ergonomico
la cortadora operaba con protector dañado durante limpieza del equipo.,riesgo_mecanico
se reportó salida de emergencia bloqueada en el taller sin un peligro específico identificado.,riesgo_general
un técnico casi cae al pasar por el área en la rampa de acceso por charcos cerca del drenaje durante el turno.,riesgo_caida
Se observó tomacorriente chispeando cerca de una zona húmeda sin bloqueo ni etiquetado durante la inspección.,riesgo_electrico
se detectó fuga de químico corrosivo en el cuarto de sustancias que podía causar quemaduras.,riesgo_quimico
durante la inspección se observó almacenamiento inadecuado de químicos junto al área de limpieza con exposición a vapores.,riesgo_quimico
el operador tenía punto de pellizco expuesto durante la operación.,riesgo_mecanico
Se observó aislamiento dañado en el cuarto eléctrico generando chispas durante la inspección.,riesgo_electrico
el operador encontró recipiente mal cerrado con reactivo en el cuarto de sustancias con posibilidad de intoxicación.,riesgo_quimico
Se observó caja eléctrica abierta en el taller cerca de humedad acumulada durante la inspección.,riesgo_electrico
Se detectó riesgo de caída por desnivel sin señalización cerca del área de despacho.,riesgo_caida
Se identificó sobreesfuerzo por empuje constante de carga en pasillo estrecho.,riesgo_ergonomico
El almacenista hizo levantamiento manual sin ayuda mecánica y reportó fatiga muscular.,riesgo_ergonomico
