id,text,entities_json
40,El supervisor indicó presencia de gas comprimido en la línea de empaque y riesgo de resbalón por piso húmedo junto a una mezcladora.,"[{""start"": 0, ""end"": 13, ""label"": ""PERSONA"", ""text"": ""El supervisor""}, {""start"": 34, ""end"": 48, ""label"": ""SUSTANCIA"", ""text"": ""gas comprimido""}, {""start"": 52, ""end"": 71, ""label"": ""AREA"", ""text"": ""la línea de empaque""}, {""start"": 84, ""end"": 92, ""label"": ""EVENTO"", ""text"": ""resbalón""}, {""start"": 97, ""end"": 108, ""label"": ""CONDICION"", ""text"": ""piso húmedo""}, {""start"": 117, ""end"": 131, ""label"": ""EQUIPO"", ""text"": ""una mezcladora""}]"
31,El trabajador indicó presencia de vapores químicos en el almacén y riesgo de descarga por humedad junto a un montacargas.,"[{""start"": 0, ""end"": 13, ""label"": ""PERSONA"", ""text"": ""El trabajador""}, {""start"": 34, ""end"": 50, ""label"": ""SUSTANCIA"", ""text"": ""vapores químicos""}, {""start"": 54, ""end"": 64, ""label"": ""AREA"", ""text"": ""el almacén""}, {""start"": 77, ""end"": 85, ""label"": ""EVENTO"", ""text"": ""descarga""}, {""start"": 90, ""end"": 97, ""label"": ""CONDICION"", ""text"": ""humedad""}, {""start"": 106, ""end"": 120, ""label"": ""EQUIPO"", ""text"": ""un montacargas""}]"
62,El auxiliar observó derrame de pintura industrial cerca de la cabina de acabado.,"[{""start"": 0, ""end"": 11, ""label"": ""PERSONA"", ""text"": ""El auxiliar""}, {""start"": 20, ""end"": 27, ""label"": ""EVENTO"", ""text"": ""derrame""}, {""start"": 31, ""end"": 49, ""label"": ""SUSTANCIA"", ""text"": ""pintura industrial""}, {""start"": 59, ""end"": 79, ""label"": ""AREA"", ""text"": ""la cabina de acabado""}]"
54,El trabajador recibió una descarga al tocar el panel eléctrico con humedad en el cuarto técnico.,"[{""start"": 0, ""end"": 13, ""label"": ""PERSONA"", ""text"": ""El trabajador""}, {""start"": 22, ""end"": 34, ""label"": ""EVENTO"", ""text"": ""una descarga""}, {""start"": 44, ""end"": 62, ""label"": ""EQUIPO"", ""text"": ""el panel eléctrico""}, {""start"": 67, ""end"": 74, ""label"": ""CONDICION"", ""text"": ""humedad""}, {""start"": 78, ""end"": 95, ""label"": ""AREA"", ""text"": ""el cuarto técnico""}]"
23,El electricista indicó presencia de aceite en el laboratorio y riesgo de derrame por superficie resbalosa junto a un motor.,"[{""start"": 0, ""end"": 15, ""label"": ""PERSONA"", ""text"": ""El electricista""}, {""start"": 36, ""end"": 42, ""label"": ""SUSTANCIA"", ""text"": ""aceite""}, {""start"": 46, ""end"": 60, ""label"": ""AREA"", ""text"": ""el laboratorio""}, {""start"": 73, ""end"": 80, ""label"": ""EVENTO"", ""text"": ""derrame""}, {""start"": 85, ""end"": 105, ""label"": ""CONDICION"", ""text"": ""superficie resbalosa""}, {""start"": 114, ""end"": 122, ""label"": ""EQUIPO"", ""text"": ""un motor""}]"
101,El operador sufrió tropezón por materiales fuera de lugar en la zona de almacenamiento.,"[{""start"": 0, ""end"": 11, ""label"": ""PERSONA"", ""text"": ""El operador""}, {""start"": 19, ""end"": 27, ""label"": ""EVENTO"", ""text"": ""tropezón""}, {""start"": 32, ""end"": 57, ""label"": ""CONDICION"", ""text"": ""materiales fuera de lugar""}, {""start"": 61, ""end"": 86, ""label"": ""AREA"", ""text"": ""la zona de almacenamiento""}]"
46,El electricista indicó presencia de gas comprimido en la zona de carga y riesgo de tropezón por materiales fuera de lugar junto a un recipiente metálico.,"[{""start"": 0, ""end"": 15, ""label"": ""PERSONA"", ""text"": ""El electricista""}, {""start"": 36, ""end"": 50, ""label"": ""SUSTANCIA"", ""text"": ""gas comprimido""}, {""start"": 54, ""end"": 70, ""label"": ""AREA"", ""text"": ""la zona de carga""}, {""start"": 83, ""end"": 91, ""label"": ""EVENTO"", ""text"": ""tropezón""}, {""start"": 96, ""end"": 121, ""label"": ""CONDICION"", ""text"": ""materiales fuera de lugar""}, {""start"": 130, ""end"": 152, ""label"": ""EQUIPO"", ""text"": ""un recipiente metálico""}]"
48,"Durante la inspección, Una trabajadora observó humedad en la planta de proceso alrededor de un recipiente metálico tras resbalón.","[{""start"": 23, ""end"": 38, ""label"": ""PERSONA"", ""text"": ""Una trabajadora""}, {""start"": 47, ""end"": 54, ""label"": ""CONDICION"", ""text"": ""humedad""}, {""start"": 58, ""end"": 78, ""label"": ""AREA"", ""text"": ""la planta de proceso""}, {""start"": 92, ""end"": 114, ""label"": ""EQUIPO"", ""text"": ""un recipiente metálico""}, {""start"": 120, ""end"": 128, ""label"": ""EVENTO"", ""text"": ""resbalón""}]"
43,"Durante la inspección, El técnico observó piso húmedo en el pasillo central alrededor de el panel eléctrico tras resbalón.","[{""start"": 23, ""end"": 33, ""label"": ""PERSONA"", ""text"": ""El técnico""}, {""start"": 42, ""end"": 53, ""label"": ""CONDICION"", ""text"": ""piso húmedo""}, {""start"": 57, ""end"": 75, ""label"": ""AREA"", ""text"": ""el pasillo central""}, {""start"": 89, ""end"": 107, ""label"": ""EQUIPO"", ""text"": ""el panel eléctrico""}, {""start"": 113, ""end"": 121, ""label"": ""EVENTO"", ""text"": ""resbalón""}]"
85,El operario indicó presencia de químico volátil en producción y riesgo de golpe por superficie resbalosa junto a una herramienta industrial.,"[{""start"": 0, ""end"": 11, ""label"": ""PERSONA"", ""text"": ""El operario""}, {""start"": 32, ""end"": 47, ""label"": ""SUSTANCIA"", ""text"": ""químico volátil""}, {""start"": 51, ""end"": 61, ""label"": ""AREA"", ""text"": ""producción""}, {""start"": 74, ""end"": 79, ""label"": ""EVENTO"", ""text"": ""golpe""}, {""start"": 84, ""end"": 104, ""label"": ""CONDICION"", ""text"": ""superficie resbalosa""}, {""start"": 113, ""end"": 139, ""label"": ""EQUIPO"", ""text"": ""una herramienta industrial""}]"
